	hyperpartisan	title_tokens	n_sent_body	body_tokens	n_tokens_title	n_tokens_body
504	1	['chicago', '<num>', 'killed', '<num>', 'shot', '<num>', 'days…obama', 'terrorist', 'friend', 'ayers', 'bernie', 'sanders', 'black', 'lives', 'matter', 'violence', 'free', 'speech', 'priority…', 'soros', 'group', 'openly', 'threatens', 'americans']	16	"[['illegal', 'aliens', 'paid', 'soros', 'protesters', 'angry', 'black', 'lives', 'matter', 'terrorists', 'inspired', 'obama', 'race', 'war', 'bernie', 'sanders', 'supporters', 'absolutely', 'idea', 'showed', 'sent', 'innocent', 'police', 'officers', 'hospital', 'prevented', 'thousands', 'innocent', 'americans', 'exercising', 'amendment', 'right'], ['concerned', 'citizens', 'especially', 'black', 'lives', 'matter', 'terrorists', 'protest', 'solution', 'murder', '<num>', 'people', 'chicago', 'year'], ['trending', 'new', 'mexico', 'planned', 'terror', 'attack', 'atlanta', 'hospital…judge', 'let', 'bond'], ['george', 'soros', 'moveon.org', 'group', 'takes', 'responsiblity', 'alinsky', 'style', 'violent', 'protests', 'free', 'speech', 'trump', 'rally', 'moveon.org', 'shows', 'support', 'socialist', 'bernie', 'sanders'], ['warn', 'opposes', 'radical', 'ideology', 'police', 'officers', 'sent', 'hospital', 'violence', 'police', 'officers', 'acceptable', 'bernie', 'sanders', 'black', 'lives', 'matter', 'terrorists', 'necessary', 'create', 'chaos', 'panic', 'kind', 'violent', 'protest', 'complete', 'barack', 'obama', 'good', 'friend', 'domestic', 'terrorist', 'ayers', 'actual', 'terrorist', 'ayers', 'protesting', 'trump', 'chicago'], ['pic.twitter.com/7dqat4dvmh', 'probably', 'coincidence', 'day', 'obama', 'busy', 'attend', 'nancy', 'reagan', 'funeral', 'able', 'address', 'crowd', 'hate', 'trump', 'hours', 'organized', 'chaos', 'chicago', 'finally', ""'re"", 'wondering', 'organizer', 'chief', 'alinsky', 'style', 'chaos', 'chicago', 'illegal', 'aliens', 'paid', 'soros', 'protesters', 'angry', 'black', 'lives', 'matter', 'terrorists', 'inspired', 'obama', 'race', 'war', 'bernie', 'sanders', 'supporters', 'absolutely', 'idea', 'showed', 'sent', 'innocent', 'police', 'officers', 'hospital', 'prevented', 'thousands', 'innocent', 'americans', 'exercising', 'amendment', 'right'], ['concerned', 'citizens', 'especially', 'black', 'lives', 'matter', 'terrorists', 'protest', 'solution', 'murder', '<num>', 'people', 'chicago', 'year'], ['trending', 'new', 'mexico', 'planned', 'terror', 'attack', 'atlanta', 'hospital…judge', 'let', 'bond'], ['george', 'soros', 'moveon.org', 'group', 'takes', 'responsiblity', 'alinsky', 'style', 'violent', 'protests', 'free', 'speech', 'trump', 'rally', 'moveon.org', 'shows', 'support', 'socialist', 'bernie', 'sanders'], ['warn', 'opposes', 'radical', 'ideology', 'police', 'officers', 'sent', 'hospital', 'violence', 'police', 'officers', 'acceptable', 'bernie', 'sanders', 'black', 'lives', 'matter', 'terrorists', 'necessary', 'create', 'chaos', 'panic', 'kind', 'violent', 'protest', 'complete', 'barack', 'obama', 'good', 'friend', 'domestic', 'terrorist', 'ayers', 'actual', 'terrorist', 'ayers', 'protesting', 'trump', 'chicago'], ['pic.twitter.com/7dqat4dvmh', 'probably', 'coincidence', 'day', 'obama', 'busy', 'attend', 'nancy', 'reagan', 'funeral', 'able', 'address', 'crowd', 'hate', 'trump', 'hours', 'organized', 'chaos', 'chicago', 'finally', ""'re"", 'wondering', 'organizer', 'chief', 'alinsky', 'style', 'chaos', 'chicago', 'illegal', 'aliens', 'paid', 'soros', 'protesters', 'angry', 'black', 'lives', 'matter', 'terrorists', 'inspired', 'obama', 'race', 'war', 'bernie', 'sanders', 'supporters', 'absolutely', 'idea', 'showed', 'sent', 'innocent', 'police', 'officers', 'hospital', 'prevented', 'thousands', 'innocent', 'americans', 'exercising', 'amendment', 'right'], ['concerned', 'citizens', 'especially', 'black', 'lives', 'matter', 'terrorists', 'protest', 'solution', 'murder', '<num>', 'people', 'chicago', 'year'], ['trending', 'new', 'mexico', 'planned', 'terror', 'attack', 'atlanta', 'hospital…judge', 'let', 'bond'], ['george', 'soros', 'moveon.org', 'group', 'takes', 'responsiblity', 'alinsky', 'style', 'violent', 'protests', 'free', 'speech', 'trump', 'rally', 'moveon.org', 'shows', 'support', 'socialist', 'bernie', 'sanders'], ['warn', 'opposes', 'radical', 'ideology', 'police', 'officers', 'sent', 'hospital', 'violence', 'police', 'officers', 'acceptable', 'bernie', 'sanders', 'black', 'lives', 'matter', 'terrorists', 'necessary', 'create', 'chaos', 'panic', 'kind', 'violent', 'protest', 'complete', 'barack', 'obama', 'good', 'friend', 'domestic', 'terrorist', 'ayers', 'actual', 'terrorist', 'ayers', 'protesting', 'trump', 'chicago'], ['pic.twitter.com/7dqat4dvmh', 'probably', 'coincidence', 'day', 'obama', 'busy', 'attend', 'nancy', 'reagan', 'funeral', 'able', 'address', 'crowd', 'hate', 'trump', 'hours', 'organized', 'chaos', 'chicago', 'finally', ""'re"", 'wondering', 'organizer', 'chief', 'alinsky', 'style', 'chaos', 'chicago']]"	24	16
177	0	['acting', 'head', 'crime', 'intelligence', 'fired']	8	[['acting', 'head', 'crime', 'intelligence', 'major-general', 'pat', 'mokushane', 'axed', 'position'], ['comes', 'reports', 'criminal', 'record', 'investigated', 'running', 'business', 'work'], ['news24', 'reports', 'mokushane', 'termination', 'signed', 'acting', 'national', 'commissioner', 'lesetja', 'mothiba', 'august', '<num>'], ['letter', 'serves', 'inform', 'acting', 'appointment', 'major-general', 'pm', 'mokushane', 'divisional', 'commissioner', 'crime', 'intelligence', 'terminated', 'immediate', 'effect', 'letter', 'reads'], ['earlier', 'month', 'city', 'press', 'reported', 'mokushane', 'criminal', 'record', 'affair', 'officer', 'wife'], ['report', 'stated', 'arrested', '<num>', 'possession', 'suspected', 'stolen', 'property'], ['denied', 'allegations'], ['news24', 'reported', 'police', 'portfolio', 'committee', 'told', 'mokushane', 'suspended', 'police', 'officer', 'revealed', 'mothiba', 'misled', 'mokushane', 'clearance']]	5	8
8	1	['tell', 'mr.', 'bannon', 'trumpism']	54	"[['days', 'steven', 'bannon', 'blustery', 'accusatory', 'interview', '<num>', 'minutes', 'warned', 'apostates', 'blocking', 'president', 'trump', 'agenda', 'coming', 'trump', 'confirmed', 'thing', 'trumpism'], ['recent', 'weeks', 'assured', 'democrats', 'backs', 'legalizing', 'dreamers', 'affirmed', 'commitment', 'foreign', 'aid', 'united', 'nations', 'said', 'adding', 'troops', 'afghanistan'], ['trump', 'accept', 'better', 'terms', 'wants', 'paris', 'climate', 'accord'], ['bad', 'bannon', 'remotely', 'fault', 'favorite', 'punching', 'bags', 'senate', 'minority', 'leader', 'mitch', 'mcconnell', 'house', 'speaker', 'paul', 'ryan', 'trump'], ['bannon', 'new', 'self-described', 'role', 'wingman', 'growling', 'outside', 'instead', 'inside', 'white', 'house', 'chief', 'strategist', 'fought', 'openly', 'globalist', 'forces', 'believed', 'included', 'trump', 'family', 'members', 'going'], ['trump', 'keeps', 'screwing', 'things', 'breitbart', 'news', 'commander'], ['getting', 'fired', 'month', 'lamented', 'weekly', 'standard', 'trump', 'presidency', 'fought'], ['reflection', 'bannon', 'realized', 'lame', 'duck', 'talk', 'diminishes', 'power', 'overdrive', 'fighting', 'scraps', 'policy', 'vision', 'president', 'embraces', 'spasmodically'], ['bannon', 'says', 'enjoying', 'hands', 'weapons', 'outside', 'looking', 'west', 'wing', 'filled', 'elites', 'goldman', 'sachs', 'definition', 'swamp', 'bannon', 'frothing'], ['president', 'spending', 'political', 'donations', 'legal', 'fees', 'staffers', 'deep', 'debt', 'mounting', 'lawyer', 'bills', 'visitor', 'logs', 'kept', 'secret', 'voters', 'idea', 'permitted', 'oval', 'office', 'influence', 'president', 'kleptocracy', 'thrives', 'trump', 'children', 'continue', 'enriched', 'business', 'connected', 'foreign', 'governments', 'including', 'chinese'], ['cabinet', 'secretaries', 'government', 'planes', 'private', 'use', 'private', 'planes', 'government', 'work', 'violations', 'sparked', 'endless', 'breitbart', 'bonfires', 'president', 'obama'], ['reality', 'little', 'left', 'trumpism', 'trumpet', 'bannon', 'fired'], ['got', 'travel', 'ban', 'modified', 'version', 'maybe', 'promised', 'withdrawal', 'paris', 'climate', 'agreement', 'bannon', 'claim', 'credit', 'trump', 'pulls', 'iran', 'nuclear', 'deal'], ['trade', 'immigration', 'president', 'retreated', 'bannon', 'barricade-crashing', 'proposals', 'withdrawn', 'nafta', 'imposed', 'tariffs', 'chinese', 'steel', 'imports', 'times', 'backed', 'threats', 'funding', 'border', 'wall', 'come', 'favor', 'bannon', 'calls', 'amnesty'], ['bannon', 'declared', 'war', 'promising', 'incumbent', 'republican', 'senators', 'sufficiently', 'loyal', 'president'], ['targets', 'guilty', 'insufficient', 'fealty', 'trump', 'agenda', 'thought', 'trumpism'], ['backing', 'loyal', 'mega-donor', 'robert', 'mercer', 'bannon', 'forces', 'targeting', 'sen.', 'jeff', 'flake', 'potentially', 'sens'], ['bob', 'corker', 'roger', 'wicker'], ['gop', 'leaders', 'incensed', 'millions', 'spend', 'protecting', 'lawmakers', 'money', 'spent', 'trying', 'knock', 'democrats'], ['currently', 'bannon', 'working', 'elect', 'roy', 'moore', 'replace', 'sitting', 'sen.', 'luther', 'strange', 'alabama', 'senate', 'race'], ['trump', 'endorsed', 'strange', 'backed', 'mcconnell'], ['bannon', 'backing', 'trumpian', 'candidate', 'trump'], ['bannon', 'ironically', 'purports', 'interested', 'protecting', 'gop', 'majorities', 'congress'], ['imagine', 'trump', 'giving', 'away', 'store', 'daca', 'democratic', 'leaders', 'nancy', 'pelosi', 'chuck', 'schumer', 'bannon', 'declared', '<num>', 'minutes', 'interview', 'preserving', 'president', 'obama', 'executive', 'order', 'cause', 'gop', 'civil', 'war'], ['expects', 'dreamers', 'run', 'permits', 'self-deport', 'amnesty', 'non-negotiable'], ['said', ""'m"", 'worried', 'losing', 'house', 'adding', 'fear', 'february', 'march', 'civil', 'war', 'inside', 'republican', 'party'], ['civil', 'war', 'gop', 'bannon', 'aim', 'hard', 'know'], ['blames', 'ryan', 'mcconnell'], ['want', 'donald', 'trump', 'populist', 'economic', 'agenda', 'implemented'], ['obvious'], ['obvious', 'night', 'follows', 'day', 'told', 'charlie', 'rose'], ['trumpism', 'bannon', 'swallows', 'heavy', 'doses', 'denial'], ['trump', 'threatened', 'withdraw', 'nafta', 'president', 'kids', 'aides', 'calls', 'canadian', 'government', 'arranged', 'prime', 'minister', 'justin', 'trudeau', 'trump', 'talk', 'ledge'], ['ryan', 'mcconnell'], ['trump', 'approval', 'ratings', 'remain', 'low', 'bannon', 'said', 'gotten', 'wall', 'built'], ['earth', 'steve', 'trump', 'signaled', 'congress', 'wall', 'joke'], ['wake', 'daca', 'debacle', 'breitbart', 'called', 'president', 'amnesty', 'bannon', 'stayed', 'sheepishly', 'silent'], ['ann', 'coulter', 'author', 'trump', 'trust', 'tweeted', 'looks', 'like', 'bannon', 'got', 'wrong'], ['shadowy', 'force', 'trying', 'nullify', '<num>', 'election', 'realdonaldtrump', 'sam', 'nunberg', 'close', 'bannonite', 'conceded', 'reality', 'sinking', 'trump', 'administration', 'precipice', 'turning', 'establishment', 'presidency'], ['bannon', 'breaking', 'plates', 'breitbart', 'building', 'brand'], ['week', 'like', 'dime-a-dozen', 'elitist', 'bannon', 'attended', 'investor', 'conference', 'hong', 'kong'], ['told', 'exclusive', 'gathering', 'speaks', 'trump', 'two-to-three', 'days', 'despite', 'white', 'house', 'denials', 'president', 'spoken', 'bannon', 'left'], ['trump', 'disappointed', 'daca', 'nunberg', 'hailed', 'bannon', 'increased', 'influence', 'trump'], ['think', 'steve', 'leaves', 'week', 'later', 'trump', 'pardons', 'arpaio', 'suspend', 'daca'], ['think', 'coincidence', 'nunberg', 'told', 'buzzfeed'], ['bannon', 'remains', 'fixated', 'threat', 'china', 'poses', 'united', 'states', 'grimly', 'predicted', 'war', 'nation', 'five-to-10', 'years', 'buildup', 'military', 'installations', 'south', 'china', 'sea', 'said', ""'re"", 'economic', 'war', 'china'], ['domestic', 'bark', 'regard', 'overseas-investor-conference', 'bite'], ['new', 'york', 'times', 'described', 'bannon', 'subdued', 'purported', 'chinese', 'threat'], ['wall', 'street', 'journal', 'reported', 'described', 'trump', 'great', 'respect', 'president', 'xi', 'prospects', 'trade', 'u.s.', 'needs', 'play', 'stronger', 'role', 'changing', 'china', 'attendee', 'recalled'], ['far', 'trade', 'war', 'steel'], ['time', 'bannonism', 'way', 'trumpism'], ['a.b'], ['stoddard', 'associate', 'editor', 'realclearpolitics', 'columnist'], ['host', 'labels', 'radio', 'sirius', 'xm', 'potus', 'channel']]"	4	54
124	0	['nyt', 'editor', 'claims', 'antifa', 'member', 'brags', 'anti-trump', 'bias']	7	"[['new', 'undercover', 'video', 'shows', 'new', 'york', 'times', 'audience', 'strategy', 'editor', 'nick', 'dudich', 'bragging', 'anti-trump', 'bias', 'history', 'antifa', 'member'], ['conservative', 'activist', 'group', 'project', 'veritas', 'released', 'video', 'tuesday', 'showing', 'dudich', 'joking', 'objective', 'saying', ""'m""], [""'m""], ['dudich', 'emphasized', 'influence', 'times', 'newsroom', 'saying', 'imprint', 'video'], ['editor', 'claimed', 'antifa', 'member', 'frequently', 'assaulted', 'alleged', 'neo-nazis'], ['yeah', 'antifa', 'punk', 'time', 'dudich', 'says', 'referring', 'militant', 'far-left', 'movement', 'repeatedly', 'attacked', 'conservatives', 'trump', 'supporters'], ['reading…']]"	8	7
308	0	['trump', 'reportedly', 'predicting', 'appoint', 'supreme', 'court', 'justices']	20	[['trump', 'reports', 'trump', 'nominated', 'conservative', 'judge', 'neil', 'gorsuch\u200b', 'confirmed', 'sworn', 'office', 'april', '<num>', 'gorsuch', 'replaced', '\u200bthe', 'late', 'justice', 'antonin', 'scalia'], ['trump', 'believes', 'associate', 'justice', 'anthony', 'kennedy', 'who\u200b', '<num>', 'years', 'old', 'soon'], ['kennedy', 'rumored', 'read', 'exchange', 'trump', 'obtained', 'axios'], ['ok', 'source', 'told', 'trump'], ['ginsburg', 'trump', 'replied'], ['weigh'], ['<num>', 'pounds'], ['fourth'], ['source', 'asked'], ['sotomayor', 'trump', 'said', 'referring', 'relatively', 'recently-appointed', 'obama', 'justice', 'rarely', 'mentioned', 'speculation', 'justice', 'replaced'], ['health', 'trump', 'explained'], ['good'], ['diabetes'], ['associate', 'justice', 'ruth', 'bader', 'ginsburg', '<num>', 'years', 'old', 'associate', 'justice', 'sonia', 'sotomayor', '<num>', 'years', 'old'], ['sotomayor', 'appointed', 'president', 'obama', 'latina', 'serve', 'supreme', 'court'], ['diagnosed', 'diabetes', 'child'], ['ironically', 'trump', 'oldest', 'person', 'elected', 'president', 'u.s.', 'history'], ['reality', 'television', 'star', '<num>', 'years', 'old'], ['source', 'quoted', 'saying', 'numbers', 'surprising', 'talking', 'man', 'constantly', 'brags']]	7	19
244	1	['criminals', 'stealing', 'suppressors', 'problem', 'anti-gunners', 'think']	30	"[['despite', 'century', 'suppressors', 'crimes'], ['fact', 'like', 'time', 'crime', 'committed', 'suppressor', 'suppressor', 'illegal', 'reason'], [""'re"", 'way'], ['hearing', 'protection', 'act', 'passes', 'share', 'act', 'suppressors', 'likely', 'far', 'common'], ['hysterical', 'tribe', 'trace', 'worried', 'criminals', 'getting', 'grubby', 'little', 'paws', 'theft', 'congress', 'vote', 'soon', 'week', 'pertinent', 'public', 'safety', 'question', 'happen', 'silencers', 'enter', 'circulation'], ['hurdles', 'silencer', 'buyers', 'deal', 'demand', 'items', 'increasing', 'fueled', 'new', 'generation', 'suppressors', 'slick', 'marketing'], ['<num>', 'million', 'registered', 'bureau', 'alcohol', 'tobacco', 'firearms', 'explosives', '<num>', 'years', 'ago'], ['evidence', 'suggest', 'silencers', 'gained', 'foothold', 'gun', 'owners', 'winding', 'black', 'market'], [""'ve"", 'written', 'extended', 'magazines', 'sure', 'theft', 'legitimate', 'concern'], ['impossible', 'things', 'criminals', 'hands', ""'re"", 'acquired', 'theft', 'directly', 'indirectly', 'black', 'market'], [""'d"", 'like', 'applaud', 'trace', 'acknowledging', 'criminals', 'unlikely', 'walk', 'gun', 'store', 'buy', 'suppressors'], ['good'], ['mistake', 'criminals', 'hands', 'suppressors', 'theft'], ['going', 'happen', 'unfortunately'], ['course', 'criminals', 'suppressors', 'garage', 'right'], ['information', 'internet', 'brother', 'look', 'choose'], ['way', 'years'], [""'re"", 'rarely', 'crime'], ['look', 'photo', 'suppressed', 'pistol', 'handguns', 'preferred', 'weapon', 'average', 'criminal'], ['note', 'suppressor', 'extends', 'weapon'], ['fact', 'doubles', 'overall', 'length', 'weapon'], ['guess'], ['makes', 'difficult', 'hide', 'suppressed', 'firearm'], ['seriously', 'try', 'tucking', 'pants', 'quickly', 'draw'], ['makes', 'suppressors', 'difficult', 'sneak', 'convenience', 'store'], ['difficult', 'waiting', 'pull', 'gun', 'rob'], ['criminals', 'doubt', 'hands', 'suppressors', 'course', 'career', 'wo', 'help'], [""'re"", 'terrible', 'options', 'line', 'work', 'internet', 'instructions', 'laying', 'mysteries', 'suppressor', 'bare', 'years', 'ago', 'reason', 'fear', 'getting', 'crooks', 'hands'], [""'re"", 'likely', 'figure', 'quickly', ""'re"", 'useless', 'purposes']]"	6	29
227	0	['jerry', 'jones', 'explains', 'opposes', 'national', 'anthem', 'protests']	5	[['members', 'dallas', 'cowboys', 'organization', 'reluctant', 'protest', 'national', 'anthem', 'head', 'coach', 'jason', 'garrett', 'calling', 'anthem', 'sacred', 'cowboys', 'owner', 'jerry', 'jones', 'clear', 'opposes', 'national', 'anthem', 'protests'], ['interview', 'fox', 'business', 'jones', 'said', 'think', 'place', 'express', 'opinions', 'protesting', 'flag'], ['think', 'place', 'express', 'society', 'recognize', 'american', 'flag'], ['jerry', 'jones', 'national', 'anthem', 'protests', 'pic.twitter.com/3jkrdmhwwy', 'fox', 'business', 'foxbusiness', 'september', '<num>', '<num>', 'jones', 'thoughts', 'echo', 'americans', 'demonstrations', 'attest', 'disagree'], ['based', 'public', 'comments', 'surprise', 'display', 'cowboys', 'monday', 'night']]	7	5
370	1	['obama', 'commutes', 'sentence', 'chelsea', 'manning']	1	[['barack', 'obama', 'shortened', 'sentence', 'whistleblower', 'chelsea', 'manning', 'released', '<num>', 'instead', 'remaining', 'military', 'custody', '<num>', 'originally', 'sentenced']]	5	1
82	1	['brown', 'oxymoron', 'called', 'social', 'justice']	31	"[['oct', '<num>', '<num>', '3:09', 'pm', 'washington', 'd.c.', 'nfl', 'hollywood', 'america', 'idols', 'tumbling'], ['bad', 'thing'], ['long', 'wasted', 'precious', 'time', 'money', 'worshipping', 'so-called', 'social', 'justice', 'warrior', 'hypocrites', 'continue', 'disappoint'], ['hoping', 'disappointment', 'lead', 'matters', 'count'], ['huge', 'swaths', 'americans', 'bow', 'altar', 'social', 'justice'], ['believe', 'government-forced', 'charity', 'advance', 'utopian', 'paradise', 'enjoys', 'outcome', 'despite', 'personal', 'effort', 'upbringing', 'unique', 'abilities', 'education'], ['truth', 'social', 'justice', 'oxymoron', 'based', 'false', 'premise', 'cure', 'injustice', 'leveling', 'playing', 'field', 'redistributing', 'wealth'], ['vice', 'president', 'joe', 'biden', 'said', 'redistribution', 'wealth', 'â€', 'fair'], ['karl', 'marx', 'proud'], ['marx', 'hated', 'religion', 'private', 'property', 'judeo-christian', 'values', 'leftists', 'today'], ['bolt', 'place', 'worship', 'combines', 'jesus', 'social', 'justice', 'government', 'sentence'], ['book', 'fatal', 'conceit', 'errors', 'socialism', 'economist', 'friedrich', 'hayek', 'nails', 'stake', 'aim', 'socialism', 'affect', 'complete', 'redesigning', 'traditional', 'morals', 'law', 'language', 'â€', 'basis', 'stamp', 'old', 'order', 'supposedly', 'inexorable', 'unjustifiable', 'conditions', 'prevent', 'institution', 'reason', 'fulfillment', 'true', 'freedom', 'justice'], ['yesteryears', 'creepy', 'social', 'justice', 'warriors', 'closet', 'longer', 'hide', 'agenda'], ['instead', 'pink', 'boa', 'parade', 'intentions', 'destroy', 'capitalism', 'silence', 'free', 'speech', 'scrub', 'judeo-christian', 'values', 'public', 'square'], ['harp', 'injustice', 'claim', 'fix', 'arrogant', 'egotistical', 'piles', 'hogwash', ""'ll"", 'hear'], ['divide', 'groups', 'normal', 'folks'], ['believe', 'normal', 'folks', 'smart', 'slugs', 'incapable', 'coherent', 'reasoning', 'self-care'], ['everyday', 'americans', 'diamonds', 'rough', 'pliable', 'moldable', 'objects', 'reshape', 'america', 'socialist', 'nightmare', 'like', 'venezuela'], [""'ve"", 'said', 'democrats', 'sacrosanct', 'belief', 'government', 'created', 'control', 'fairness', 'spread', 'modern-day', 'effort', 'reinvent', 'robin', 'hood', 'chivalry', 'green', 'tights'], ['romantically', 'embrace', 'concept', 'social', 'justice', 'believe', 'misnomer', 'stealing', 'passing', 'place', 'result', 'sort', 'righteous', 'leveling'], ['leftists', 'market', 'charity'], ['normal', 'folks', 'leave', 'government', 'mix', 'combine', 'compassion', 'common', 'sense'], ['bring', 'food', 'hand', 'rifle', 'knowing', 'teach', 'hunt', ""'ll"", 'eat', 'lifetime'], ['comparison', 'leftists', 'bring', 'trader', 'joe', 'bagels', 'hand', 'voter', 'registration', 'card'], ['seizing', 'opportunity', 'convert', 'victims', 'non-thinking', 'entitlement', 'aficionados', 'stop', 'meet', 'immediate', 'need', 'lead', 'noses', 'leftist-run', 'metropolises', 'crime', 'government', 'handouts', 'abound'], ['know', 'devil', 'details', ""'ll"", 'ahead'], ['forced', 'charity', 'bring', 'justice'], ['instead', 'creates', 'injustice', 'stirs', 'animosity', 'fortunate', 'penalized', 'taxed', 'hard', 'work', 'penalty', 'prosecution'], ['sharp', 'contrast', 'power', 'authentic', 'generosity', 'government', 'social-engineering', 'match'], ['social', 'justice', 'crowd', 'dust', 'knees', 'protest', 'try'], ['^', 'susan', 'stamper', 'brown', 'lives', 'alaska', 'writes', 'culture', 'politics', 'current', 'events']]"	5	31
267	0	['hillary', 'clinton', 'response', 'las', 'vegas', 'shooting', 'calls', 'gun', 'control']	23	[['hours', 'deadliest', 'shooting', 'u.s.', 'history', 'democratic', 'presidential', 'candidate', 'hillary', 'clinton', 'clinton', 'asked', 'followers', 'politics', 'aside', 'stand', 'nra'], ['message', 'came', 'shortly', 'devastating', 'las', 'vegas', 'massacre', 'grief'], ['politics', 'aside', 'stand', 'nra', 'work', 'try', 'stop', 'happening'], ['hillary', 'clinton', 'hillaryclinton', 'october', '<num>', '<num>', 'clinton', 'wrote', 'crowd', 'fled', 'sound', 'gunshots'], ['imagine', 'deaths', 'shooter', 'silencer', 'nra', 'wants', 'easier'], ['introduced', 'earlier', 'year', 'republican', 'jeff', 'duncan', 'frames', 'issue', 'public', 'health', 'matter', 'saying', 'gun', 'owners', 'risk', 'suffering', 'hearing', 'damage', 'access', 'silencers'], ['response', 'called', 'change', 'access', 'firearms', 'contrasted', 'president', 'donald', 'trump', 'response', 'warmest', 'condolences', 'sympathies', 'victims', 'families', 'terrible', 'las', 'vegas', 'shooting'], ['god', 'bless'], ['donald', 'j.', 'trump', 'realdonaldtrump', 'october', '<num>', '<num>', 'gun', 'rights', 'major', 'issue', 'candidates', 'year', 'election'], ['trump', 'called', 'defender', 'gun', 'rights', 'second', 'amendment', 'clinton', 'called', 'common', 'sense', 'regulations', 'able', 'buy', 'weapons', 'need', 'background', 'checks'], ['nra', 'endorsed', 'trump', 'election'], ['vice', 'president', 'joe', 'biden', 'called', 'congress', 'act', 'save', 'lives'], ['long', 'let', 'gun', 'violence', 'tear', 'families', 'apart'], ['congress', '&', 'wh', 'act', 'save', 'lives'], ['excuse', 'inaction'], ['joe', 'biden', 'joebiden', 'october', '<num>', '<num>', 'connecticut', 'senators', 'pushed', 'tighter', 'gun', 'control', '<num>', 'sandy', 'hook', 'elementary', 'school', 'shooting', 'quick', 'issue', 'statements', 'monday'], ['america', 'horrific', 'large-scale', 'mass', 'shootings', 'happen', 'degree', 'regularity', 'sen.', 'chris', 'murphy', 'd-conn.', 'said', 'statement'], ['stop'], ['positively', 'infuriating', 'colleagues', 'congress', 'afraid', 'gun', 'industry', 'pretend', 'public', 'policy', 'responses', 'epidemic'], ['thoughts', 'prayers', 'politicians', 'cruelly', 'hollow', 'paired', 'continued', 'legislative', 'indifference'], ['time', 'congress', 'ass'], ['primary', 'suspect', 'stephen', 'paddock', 'mandalay', 'bay', 'hotel', 'casino', 'join', '<num>', 'people', 'important', 'news', 'stories', 'best', 'shopping', 'deals', 'heavy', 'delivered', 'right', 'inbox']]	9	22
